Pseudomonas syringae pv. tomato str. DC3000 chromosome, complete genome - 1..6397126
5481 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
1212820..1213179	-	119	28868314	-	PSPTO_1099	-	COG3436L	ISPsy5, Orf1
1214486..1215673	-	395	28868315	-	PSPTO_1100	-	COG0582L	site-specific recombinase, phage integrase family
1215889..1216989	-	366	28868316	ychF	PSPTO_1101	-	COG0012J	GTP-binding protein YchF
1217011..1217595	-	194	28868317	pth	PSPTO_1102	-	COG0193J	peptidyl-tRNA hydrolase
1217760..1218371	-	203	28868318	-	PSPTO_1103	-	COG1825J	ribosomal 5S rRNA E-loop binding protein Ctc/L25/TL5
1218509..1219450	-	313	28868319	prsA	PSPTO_1104	-	COG0462FE	ribose-phosphate pyrophosphokinase
1219609..1220457	-	282	28868320	ispE	PSPTO_1105	-	COG1947I	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
1220460..1221077	-	205	28868321	lolB	PSPTO_1106	-	COG3017M	outer membrane lipoprotein LolB
1221082..1222809	-	575	28868322	-	PSPTO_1107	-	COG5010U	TPR domain-containing protein
1223036..1224313	+	425	28868323	hemA	PSPTO_1108	-	COG0373H	glutamyl-tRNA reductase
1224310..1225392	+	360	28868324	prfA	PSPTO_1109	-	COG0216J	peptide chain release factor 1
1225393..1226226	+	277	28868325	hemK	PSPTO_1110	-	COG2890J	hemK protein
1226211..1226990	+	259	28868326	moeB	PSPTO_1111	-	COG0476H	molybdopterin biosynthesis protein MoeB
1226983..1227810	+	275	28868327	murI	PSPTO_1112	-	COG0796M	glutamate racemase
1228041..1228448	+	135	300781805	-	PSPTO_5636	-	-	hypothetical protein
1228770..1228994	-	74	28868329	-	PSPTO_1114	-	COG0727R	hypothetical protein
1229099..1229602	-	167	28868330	-	PSPTO_1115	-	-	membrane protein
1229595..1230863	-	422	28868331	cfa	PSPTO_1116	-	COG2230M	cyclopropane-fatty-acyl-phospholipid synthase
1230850..1231533	-	227	28868332	-	PSPTO_1117	-	COG3496S	hypothetical protein
1231647..1232894	-	415	28868333	-	PSPTO_1118	-	COG2907R	amine oxidase, flavin-containing protein
1232891..1233679	-	262	28868334	-	PSPTO_1119	-	COG0300R	short chain dehydrogenase/reductase family oxidoreductase
1233676..1234098	-	140	28868335	-	PSPTO_1120	-	-	hypothetical protein
1234091..1235539	-	482	28868336	phrB	PSPTO_1121	-	COG0415L	deoxyribodipyrimidine photolyase
1235549..1236457	-	302	28868337	-	PSPTO_1122	-	COG0789K	MerR family transcriptional regulator
1236463..1237419	-	318	28868338	-	PSPTO_1123	-	COG3272S	hypothetical protein
1237618..1237740	-	40	28868339	-	PSPTO_1124	-	-	hypothetical protein
1237715..1237930	-	71	28868340	-	PSPTO_1125	-	-	hypothetical protein
1237927..1238913	-	328	28868341	-	PSPTO_1126	-	COG3380R	amine oxidase, flavin-containing protein
1239201..1240103	+	300	28868342	-	PSPTO_1127	-	COG1090R	hypothetical protein
1240127..1241149	+	340	28868343	hemH	PSPTO_1128	-	COG0276H	ferrochelatase
1241259..1242479	-	406	28868344	uraA	PSPTO_1129	-	COG2233F	uracil transporter
1242541..1243179	-	212	28868345	upp	PSPTO_1130	-	COG0035F	uracil phosphoribosyltransferase
1243387..1243944	+	185	28868346	hpt	PSPTO_1131	-	COG0634F	hypoxanthine phosphoribosyltransferase
1244010..1244504	+	164	28868347	-	PSPTO_1132	-	-	hypothetical protein
1244571..1244858	+	95	300781806	-	PSPTO_5634	-	-	hypothetical protein
1245042..1245773	-	243	28868348	-	PSPTO_1133	-	COG0765E	amino acid ABC transporter permease
1245872..1246693	-	273	28868349	-	PSPTO_1134	-	COG0834ET	amino acid ABC transporter substrate-binding protein
1246804..1247700	+	298	28868350	-	PSPTO_1135	-	COG2040E	homocysteine S-methyltransferase family protein
1247783..1249291	-	502	28868351	mqo	PSPTO_1136	-	COG0579R	malate:quinone oxidoreductase
1249976..1250086	+	36	28868352	-	PSPTO_1137	-	-	hypothetical protein
1250473..1251054	+	193	28868353	-	PSPTO_1138	-	COG3056M	lipoprotein
1251135..1251386	-	83	28868354	-	PSPTO_1139	-	-	hypothetical protein
1251599..1252762	-	387	28868355	-	PSPTO_1140	-	COG2937I	hypothetical protein
1252869..1253051	+	60	28868356	-	PSPTO_1141	-	-	hypothetical protein
1253051..1253311	+	86	28868357	-	PSPTO_1142	-	-	hypothetical protein
1253340..1253969	+	209	28868358	-	PSPTO_1143	-	COG2135S	hypothetical protein
1254153..1254971	+	272	28868359	-	PSPTO_1144	-	COG4783R	lipoprotein
1255028..1255612	-	194	28868360	-	PSPTO_1145	-	COG2119S	hypothetical protein
1255859..1256857	-	332	28868361	rsmC	PSPTO_1146	-	COG2813J	ribosomal RNA small subunit methyltransferase C
1257094..1257726	+	210	28868362	-	PSPTO_1147	-	COG1280E	LysE family transporter
1257917..1259599	+	560	28868363	alkK	PSPTO_1148	-	COG0318IQ	medium-chain-fatty-acid--CoA ligase
1259909..1261846	+	645	28868364	-	PSPTO_1149	-	-	hypothetical protein
1261851..1263239	+	462	28868365	-	PSPTO_1150	-	-	hypothetical protein
1263491..1266223	+	910	28868366	-	PSPTO_1151	-	COG2909K	LuxR family transcriptional regulator
1266241..1267428	-	395	28868367	-	PSPTO_1152	-	COG2206T	HDIG domain protein
1267728..1268270	-	180	28868368	-	PSPTO_1153	-	COG1853R	NAD(P)H-flavin oxidoreductase
1268283..1269062	-	259	28868369	-	PSPTO_1154	-	COG0596R	alpha/beta fold family hydrolase
1269120..1269503	-	127	28868370	-	PSPTO_1155	-	COG0251J	endoribonuclease L-PSP family protein
1269514..1270254	-	246	28868371	-	PSPTO_1156	-	COG1335Q	isochorismatase family protein
1270254..1271405	-	383	28868372	-	PSPTO_1157	-	COG2141C	luciferase family protein
1271668..1272324	+	218	28868373	-	PSPTO_1158	-	COG1309K	TetR family transcriptional regulator
1272558..1273649	+	363	28868374	-	PSPTO_1159	-	COG1744R	bmp family protein
1273646..1275157	+	503	28868375	-	PSPTO_1160	-	COG3845R	ABC transporter ATP-binding protein
1275150..1275344	+	64	28868376	-	PSPTO_1161	-	-	hypothetical protein
1277310..1277999	+	229	28868377	-	PSPTO_1164	-	COG2885M	ompA family protein
1278328..1279428	+	366	28868378	-	PSPTO_1165	-	-	hypothetical protein
1279469..1280446	+	325	28868379	-	PSPTO_1166	-	COG3039L	ISPssy, transposase
1281800..1282393	+	197	28868380	-	PSPTO_1167	-	COG5620S	hypothetical protein
1282914..1283837	-	307	28868381	-	PSPTO_1168	-	COG0204I	putative acyltransferase
1283902..1285992	-	696	28868382	pta	PSPTO_1169	-	COG0280C	phosphate acetyltransferase
1286070..1286297	-	75	28868383	-	PSPTO_1170	-	-	hypothetical protein
1286390..1286875	+	161	28868384	-	PSPTO_1171	-	COG1047O	FKBP-type peptidyl-prolyl cis-trans isomerase
1287005..1287493	+	162	28868385	-	PSPTO_1172	-	COG0386O	glutathione peroxidase
1287676..1288779	+	367	28868386	-	PSPTO_1173	-	COG1902C	oxidoreductase FAD/FMN-binding protein
1288748..1289959	-	403	28868387	-	PSPTO_1174	-	COG0438M	glycoside hydrolase family protein
1290659..1291255	+	198	28868388	-	PSPTO_1175	-	-	membrane protein
1291353..1291697	-	114	28868389	-	PSPTO_1176	-	-	hypothetical protein
1291883..1292644	-	253	28868390	cysZ	PSPTO_1177	-	COG2981E	cysZ protein
1293002..1293964	+	320	28868391	trxB	PSPTO_1178	-	COG0492O	thioredoxin reductase
1294195..1294536	-	113	28868392	-	PSPTO_1179	-	-	HopJ1 protein
1294529..1294825	-	98	28868393	-	PSPTO_1180	-	COG3492S	hypothetical protein
1294869..1295240	-	123	28868394	folB-2	PSPTO_1181	-	COG1539H	dihydroneopterin aldolase
1295240..1295803	-	187	28868395	folE-1	PSPTO_1182	-	COG0302H	GTP cyclohydrolase I
1295825..1296535	-	236	28868396	-	PSPTO_1183	-	COG1028IQR	dihydromonapterin reductase
1296770..1297342	-	190	28868397	-	PSPTO_1184	-	COG3224S	hypothetical protein
1297494..1298099	-	201	28868398	-	PSPTO_1185	-	-	hypothetical protein
1298287..1298739	+	150	28868399	-	PSPTO_1186	-	COG0716C	flavodoxin
1298852..1299772	+	306	28868400	-	PSPTO_1187	-	COG1028IQR	short chain dehydrogenase/reductase family oxidoreductase
1299927..1300904	+	325	28868401	-	PSPTO_1188	-	COG3039L	ISPssy, transposase
1301655..1303208	-	517	28868402	-	PSPTO_1189	-	COG3436L	ISPsy5, transposase
1303226..1303585	-	119	28868403	-	PSPTO_1190	-	COG3436L	ISPsy5, Orf1
1303986..1304789	-	267	28868404	-	PSPTO_1191	-	COG2912S	hypothetical protein
1304872..1305615	-	247	28868405	-	PSPTO_1192	-	-	hypothetical protein
1305776..1307740	-	654	28868406	-	PSPTO_1193	-	COG5010U	hypothetical protein
1307737..1309857	-	706	28868407	nfrB	PSPTO_1194	-	COG1215M	bacteriophage N4 adsorption protein B
1309870..1312011	-	713	28868408	-	PSPTO_1195	-	-	hypothetical protein
1312251..1313501	-	416	28868409	-	PSPTO_1196	-	COG0381M	UDP-N-acetylglucosamine 2-epimerase
1314205..1314471	-	88	28868410	-	PSPTO_1197	-	COG3141S	hypothetical protein
1314528..1314650	-	40	28868411	-	PSPTO_1198	-	-	hypothetical protein
1314638..1314775	-	45	28868412	-	PSPTO_1199	-	-	hypothetical protein
1314899..1315387	+	162	28868413	-	PSPTO_1200	-	COG3223S	hypothetical protein
1315456..1315788	-	110	28868414	-	PSPTO_1201	-	-	lipoprotein
1316033..1316365	-	110	28868415	-	PSPTO_1202	-	-	hypothetical protein
1316530..1317072	+	180	28868416	-	PSPTO_1203	-	COG1595K	RNA polymerase sigma-70 family protein
1317069..1318031	+	320	28868417	-	PSPTO_1204	-	COG3712PT	regulatory protein
1318123..1318551	-	142	28868418	-	PSPTO_1205	-	-	ribosomal subunit interface protein
1318800..1321301	+	833	28868419	-	PSPTO_1206	-	COG1629P	TonB-dependent siderophore receptor
1321452..1323800	-	782	28868420	-	PSPTO_1207	-	COG4772P	iron(III) dicitrate transport protein fecA
1324328..1325305	-	325	28868421	-	PSPTO_1208	-	COG3712PT	regulatory protein
1325302..1325808	-	168	28868422	-	PSPTO_1209	-	COG1595K	RNA polymerase sigma-70 family protein
1326007..1326351	+	114	28868423	-	PSPTO_1210	-	-	hypothetical protein
1326348..1327913	+	521	28868424	-	PSPTO_1211	-	COG3182S	membrane protein
1327913..1328245	+	110	28868425	-	PSPTO_1212	-	-	hypothetical protein
1328234..1329109	-	291	28868426	-	PSPTO_1213	-	COG2207K	AraC family transcriptional regulator
1329246..1330148	+	300	28868427	-	PSPTO_1214	-	COG0697GER	membrane protein
1330200..1331174	-	324	28868428	-	PSPTO_1215	-	COG1052CHR	D-isomer specific 2-hydroxyacid dehydrogenase family protein
1331262..1332209	-	315	28868429	-	PSPTO_1216	-	COG0583K	LysR family transcriptional regulator
1332394..1333890	+	498	28868430	-	PSPTO_1217	-	COG1538MU	outer membrane efflux protein
1333887..1336073	+	728	28868431	-	PSPTO_1218	-	COG1289S	fusaric acid resistance protein
1336058..1336258	+	66	28868432	-	PSPTO_1219	-	-	hypothetical protein
1336284..1337144	+	286	28868433	-	PSPTO_1220	-	COG1566V	fusaric acid resistance protein
1338122..1338751	+	209	28868434	-	PSPTO_1221	-	COG1280E	LysE family transporter
1340118..1340312	+	64	28868435	-	PSPTO_1222	-	COG1566V	hypothetical protein
1340384..1341202	-	272	28868436	-	PSPTO_1223	-	COG4221R	short chain dehydrogenase
1341219..1341683	-	154	28868437	-	PSPTO_1224	-	-	hypothetical protein
1343596..1343955	+	119	28868438	-	PSPTO_1226	-	COG3436L	ISPsy5, Orf1
1343973..1345526	+	517	28868439	-	PSPTO_1227	-	COG3436L	ISPsy5, transposase
1346595..1347572	+	325	28868440	-	PSPTO_1229	-	COG3039L	ISPssy, transposase
1347973..1348083	-	36	28868441	-	PSPTO_1230	-	-	hypothetical protein
1348208..1350976	+	922	28868442	-	PSPTO_1231	-	COG3209M	insecticidal toxin protein
1351082..1352533	-	483	28868443	algA	PSPTO_1232	-	COG0836M	alginate biosynthesis protein AlgA
1352670..1353338	-	222	28868444	algF	PSPTO_1233	-	-	alginate biosynthesis protein AlgF
1353351..1354526	-	391	28868445	algJ	PSPTO_1234	-	-	alginate biosynthesis protein AlgJ
1354537..1356093	-	518	28868446	algI	PSPTO_1235	-	COG1696M	alginate biosynthesis protein AlgI
1356280..1357416	-	378	28868447	algL	PSPTO_1236	-	-	alginate lyase
1357425..1358864	-	479	28868448	algX	PSPTO_1237	-	-	alginate biosynthesis protein AlgX
1358879..1360489	-	536	28868449	algG	PSPTO_1238	-	-	alginate biosynthesis protein AlgG
1360516..1361997	-	493	28868450	algE	PSPTO_1239	-	-	alginate biosynthesis protein AlgE
1361994..1363406	-	470	28868451	algK	PSPTO_1240	-	COG0790R	alginate biosynthesis protein AlgK
1363409..1364581	-	390	28868452	-	PSPTO_1241	-	-	alginate biosynthesis protein Alg44
1364622..1366103	-	493	28868453	-	PSPTO_1242	-	COG1215M	alginate biosynthesis protein Alg8
1366206..1367522	-	438	28868454	algD	PSPTO_1243	-	COG1004M	GDP-mannose 6-dehydrogenase AlgD
1368333..1369112	-	259	28868455	-	PSPTO_1244	-	COG3022S	hypothetical protein
1369648..1370481	+	277	28868456	-	PSPTO_1245	-	COG0726G	polysaccharide deacetylase family protein
1370776..1372170	+	464	28868457	-	PSPTO_1246	-	COG1875T	PhoH-like protein
1372312..1372797	+	161	28868458	moaC	PSPTO_1247	-	COG0315H	molybdenum cofactor biosynthesis protein C
1372794..1373039	+	81	28868459	moaD	PSPTO_1248	-	COG1977H	molybdenum cofactor biosynthesis protein D
1373042..1373488	+	148	28868460	moaE	PSPTO_1249	-	COG0314H	molybdenum cofactor biosynthesis protein E
1373711..1374394	+	227	28868461	-	PSPTO_1250	-	COG1462M	CsgG family protein
1374416..1374793	+	125	28868462	-	PSPTO_1251	-	COG4259S	hypothetical protein
1374790..1375452	+	220	28868463	-	PSPTO_1252	-	COG4380S	lipoprotein
1375533..1376726	-	397	162533080	rhlB	PSPTO_1253	-	COG0513LKJ	ATP-dependent RNA helicase RhlB
1377109..1377768	-	219	28868465	estA	PSPTO_1254	-	COG0400R	carboxylesterase
1378253..1379281	+	342	28868466	-	PSPTO_1255	-	COG0834ET	amino acid ABC transporter substrate-binding protein
1379352..1380533	+	393	28868467	-	PSPTO_1256	-	COG4597E	amino acid ABC transporter permease
1380544..1381641	+	365	28868468	-	PSPTO_1257	-	COG0765E	amino acid ABC transporter permease
1381652..1382416	+	254	28868469	-	PSPTO_1258	-	COG1126E	amino acid ABC transporter ATP-binding protein
1382406..1382582	-	58	28868470	-	PSPTO_1259	-	-	hypothetical protein
1382572..1383801	+	409	28868471	-	PSPTO_1260	-	COG2807P	cyanate MFS transporter
1383842..1384366	+	174	28868472	-	PSPTO_1261	-	COG3631R	hypothetical protein
1384359..1384676	+	105	28868473	-	PSPTO_1262	-	COG2827L	GIY-YIG nuclease superfamily protein
1384741..1385673	+	310	28868474	-	PSPTO_1263	-	COG0625O	hypothetical protein
1385856..1386068	-	70	28868475	nrdH	PSPTO_1264	-	COG0695O	glutaredoxin NrdH
1386213..1387214	-	333	28868476	-	PSPTO_1265	-	COG3081R	nucleoid-associated family protein
1387607..1387888	+	93	28868477	-	PSPTO_1266	-	COG0776L	HU family DNA-binding protein
1388286..1389311	-	341	162533079	-	PSPTO_1267	-	COG3129R	hypothetical protein
1389375..1392221	-	948	28868479	valS	PSPTO_1268	-	COG0525J	valyl-tRNA synthetase
1392581..1393006	-	141	28868480	-	PSPTO_1269	-	-	hypothetical protein
1393014..1393442	-	142	28868481	holC	PSPTO_1270	-	COG2927L	DNA polymerase III subunit chi
1393501..1394991	-	496	28868482	pepA	PSPTO_1271	-	COG0260E	cytosol aminopeptidase
1395310..1396437	+	375	28868483	-	PSPTO_1272	-	COG0795R	membrane protein
1396424..1397485	+	353	28868484	-	PSPTO_1273	-	COG0795R	membrane protein
1397612..1397824	-	70	28868485	-	PSPTO_1274	-	COG1278K	cold shock domain family protein
1398228..1399457	-	409	28868486	gcvT-2	PSPTO_1275	-	COG0404E	glycine cleavage system T protein
1399420..1402284	-	954	28868487	gcvP	PSPTO_1276	-	COG1003E	glycine dehydrogenase
1402295..1402678	-	127	28868488	gcvH-2	PSPTO_1277	-	COG0509E	glycine cleavage system H protein
1402983..1405100	-	705	28868489	-	PSPTO_1278	-	COG5001T	sensory box protein/response regulator
1407395..1408903	-	502	28868490	-	PSPTO_1280	-	COG3283KE	transcriptional regulator TyrR
1409228..1409584	-	118	28868491	-	PSPTO_1281	-	-	hypothetical protein
1409689..1410147	-	152	28868492	-	PSPTO_1282	-	COG2832S	hypothetical protein
1410144..1410908	-	254	28868493	-	PSPTO_1283	-	COG3230P	heme oxygenase
1410889..1413462	-	857	28868494	-	PSPTO_1284	-	COG1629P	TonB-dependent outer membrane heme receptor
1413583..1414488	-	301	28868495	-	PSPTO_1285	-	COG3712PT	regulatory protein
1414616..1415158	-	180	28868496	-	PSPTO_1286	-	COG1595K	RNA polymerase sigma-70 family protein
1415258..1416259	-	333	28868497	gap-1	PSPTO_1287	-	COG0057G	glyceraldehyde 3-phosphate dehydrogenase, type I
1416479..1418305	+	608	28868498	edd	PSPTO_1288	-	COG0129EG	6-phosphogluconate dehydratase
1418302..1419267	+	321	28868499	glk	PSPTO_1289	-	COG0837G	glucokinase
1419318..1420055	+	245	28868500	-	PSPTO_1290	-	COG0745TK	DNA-binding response regulator
1420117..1421523	+	468	28868501	-	PSPTO_1291	-	COG0642T	sensor histidine kinase
1421695..1422981	+	428	28868502	-	PSPTO_1292	-	COG1653G	glucose ABC transporter, periplasmic glucose-binding protein
1423086..1423994	+	302	28868503	-	PSPTO_1293	-	COG1175G	glucose ABC transporter permease
1423987..1424832	+	281	28868504	-	PSPTO_1294	-	COG0395G	glucose ABC transporter permease
1424835..1425995	+	386	28868505	gltK	PSPTO_1295	-	COG3839G	glucose ABC transporter ATP-binding protein
1426129..1427490	+	453	28868506	oprB	PSPTO_1296	-	COG3659M	porin B
1427498..1427632	+	44	28868507	-	PSPTO_1297	-	-	hypothetical protein
1427604..1428479	+	291	28868508	-	PSPTO_1298	-	COG0676G	hypothetical protein
1428566..1429432	-	288	28868509	hexR	PSPTO_1299	-	COG1737K	Hex regulon repressor
1429651..1431120	+	489	28868510	zwf-1	PSPTO_1300	-	COG0364G	glucose-6-phosphate 1-dehydrogenase
1431107..1431820	+	237	28868511	pgl	PSPTO_1301	-	COG0363G	6-phosphogluconolactonase
1431849..1432523	+	224	28868512	eda-1	PSPTO_1302	-	COG0800G	keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase
1432654..1432893	-	79	28868513	-	PSPTO_1303	-	COG3530S	hypothetical protein
1433113..1433583	+	156	28868514	-	PSPTO_1304	-	-	hypothetical protein
1433678..1435186	-	502	28868515	-	PSPTO_1305	-	COG3706T	diguanylate cyclase
1435390..1436754	-	454	28868516	-	PSPTO_1306	-	COG0642T	heavy metal sensor histidine kinase
1436744..1437421	-	225	28868517	-	PSPTO_1307	-	COG0745TK	DNA-binding heavy metal response regulator
1437432..1440536	-	1034	28868518	-	PSPTO_1308	-	COG0841V	AcrB/AcrD/AcrF family protein
1440533..1441699	-	388	28868519	-	PSPTO_1309	-	COG0845M	HlyD family secretion protein
1441968..1442945	+	325	28868520	-	PSPTO_1310	-	COG3039L	ISPssy, transposase
1443185..1443562	+	125	28868521	-	PSPTO_1311	-	-	hypothetical protein
1443875..1444459	+	194	28868522	-	PSPTO_1312	-	COG3539NU	fimbral biosynthesis protein
1444523..1445275	+	250	28868523	-	PSPTO_1313	-	COG3121NU	pili assembly chaperone
1446346..1447323	-	325	28868524	-	PSPTO_1315	-	COG3039L	ISPssy, transposase
1449166..1449948	+	260	28868525	-	PSPTO_1317	-	COG3121NU	fimbral chaperone protein
1449950..1450948	+	332	28868526	-	PSPTO_1318	-	-	hypothetical protein
1450996..1451283	+	95	28868527	-	PSPTO_1319	-	-	hypothetical protein
1451301..1452053	-	250	28868528	-	PSPTO_1320	-	COG0727R	hypothetical protein
1452046..1452201	+	51	28868529	-	PSPTO_1321	-	-	hypothetical protein
1452168..1452641	-	157	28868530	-	PSPTO_1322	-	COG0456R	GNAT family acetyltransferase
1452704..1453648	-	314	28868531	-	PSPTO_1323	-	COG0835NT	chemotaxis protein CheV
1454243..1454752	+	169	28868532	dsbB	PSPTO_1324	-	COG1495O	disulfide oxidoreductase
1455218..1456159	+	313	28868533	cyoA	PSPTO_1325	-	COG1622C	cytochrome o ubiquinol oxidase subunit II
1456163..1458175	+	670	28868534	cyoB	PSPTO_1326	-	COG0843C	cytochrome o ubiquinol oxidase subunit I
1458179..1458811	+	210	28868535	cyoC	PSPTO_1327	-	COG1845C	cytochrome o ubiquinol oxidase subunit III
1458811..1459143	+	110	28868536	cyoD	PSPTO_1328	-	COG3125C	cytochrome o ubiquinol oxidase subunit IV
1459154..1460041	+	295	28868537	cyoE	PSPTO_1329	-	COG0109O	protoheme IX farnesyltransferase
1460299..1461183	+	294	28868538	-	PSPTO_1330	-	COG1215M	glycosyl transferase family protein
1461281..1461868	+	195	28868539	-	PSPTO_1331	-	COG0110R	acetyltransferase
1462008..1463027	+	339	28868540	ilvE	PSPTO_1332	-	COG0115EH	branched-chain amino acid aminotransferase
1463091..1464086	-	331	28868541	-	PSPTO_1333	-	-	hypothetical protein
1464236..1465888	-	550	28868542	-	PSPTO_1334	-	COG0840NT	methyl-accepting chemotaxis protein
1466008..1466799	-	263	28868543	-	PSPTO_1335	-	COG0834ET	cyclohexadienyl dehydratase
1466973..1467269	+	98	28868544	-	PSPTO_1336	-	COG0640K	ArsR family transcriptional regulator
1467326..1468336	+	336	28868545	-	PSPTO_1337	-	COG0604CR	oxidoreductase zinc-binding protein
1468578..1469096	+	172	28868546	sodC	PSPTO_1338	-	COG2032P	superoxide dismutase, Cu-Zn
1469164..1470351	-	395	28868547	-	PSPTO_1339	-	-	membrane protein
1470549..1471325	-	258	28868548	-	PSPTO_1340	-	COG0288P	carbonic anhydrase
1471584..1472552	-	322	28868549	-	PSPTO_1341	-	-	hypothetical protein
1472620..1473678	-	352	28868550	-	PSPTO_1342	-	-	hypothetical protein
1473898..1475637	+	579	28868551	-	PSPTO_1343	-	COG0624E	hypothetical protein
1475743..1476315	+	190	28868552	-	PSPTO_1344	-	-	hypothetical protein
1476333..1477349	+	338	28868553	gnl	PSPTO_1345	-	COG3386G	gluconolactonase
1477371..1478648	-	425	28868554	-	PSPTO_1346	-	COG3706T	sensory box/GGDEF domain protein
1479036..1480382	+	448	28868555	-	PSPTO_1347	-	COG2610GE	gluconate transporter family protein
1480410..1482701	-	763	28868556	-	PSPTO_1348	-	COG5001T	sensory box/GGDEF domain/EAL domain-containing protein
1482921..1488389	-	1822	28868557	-	PSPTO_1349	-	COG1112L	hypothetical protein
1488377..1489579	-	400	28868558	-	PSPTO_1350	-	COG0501O	hypothetical protein
1489605..1489901	-	98	28868559	-	PSPTO_1351	-	-	hypothetical protein
1490163..1490849	-	228	28868560	-	PSPTO_1352	-	COG1802K	GntR family transcriptional regulator
1490846..1491241	-	131	28868561	-	PSPTO_1353	-	-	hypothetical protein
1491241..1491918	-	225	28868562	-	PSPTO_1354	-	COG1335Q	isochorismatase family protein
1491915..1493450	-	511	28868563	-	PSPTO_1355	-	COG3845R	ABC transporter ATP-binding protein
1493453..1494139	-	228	28868564	-	PSPTO_1356	-	COG1335Q	isochorismatase family protein
1494145..1495161	-	338	28868565	amiE	PSPTO_1357	-	COG0388R	aliphatic amidase
1495186..1496106	-	306	28868566	-	PSPTO_1358	-	COG1079R	ABC transporter permease
1496099..1497211	-	370	28868567	-	PSPTO_1359	-	COG4603R	ABC transporter permease
1497221..1498330	-	369	28868568	-	PSPTO_1360	-	COG1744R	bmp family protein
1498345..1500150	-	601	28868569	-	PSPTO_1361	-	COG0154J	allophanate hydrolase
1500375..1500770	-	131	28868570	-	PSPTO_1362	-	COG4776K	hypothetical protein
1500812..1502233	-	473	28868571	-	PSPTO_1363	-	COG2814G	sugar transporter family protein
1502395..1502811	+	138	28868572	-	PSPTO_1364	-	COG5485R	hypothetical protein
1502901..1503527	+	208	28868573	gstA	PSPTO_1365	-	COG0625O	glutathione S-transferase
1503611..1503772	-	53	28868574	-	PSPTO_1366	-	-	hypothetical protein
1503935..1504381	+	148	28868575	-	PSPTO_1367	-	COG1246E	GNAT family acetyltransferase
1504444..1504731	-	95	28868576	-	PSPTO_1368	-	COG5645R	lipoprotein
1504948..1505427	+	159	28868577	shcN	PSPTO_1369	-	-	type III chaperone protein ShcN
1505441..1506493	+	350	28868578	hopN1	PSPTO_1370	-	-	type III effector HopN1
1506530..1507474	-	314	28868579	-	PSPTO_1371	-	COG3781S	effector locus protein
1507846..1509306	+	486	28868580	hopAA1-1	PSPTO_1372	-	-	type III effector HopAA1-1
1509390..1510664	-	424	28868581	hrpW1	PSPTO_1373	-	-	type III helper protein HrpW1
1510970..1511464	+	164	28868582	shcM	PSPTO_1374	-	-	type III chaperone ShcM
1511461..1513599	+	712	28868583	hopM1	PSPTO_1375	-	-	type III effector HopM1
1513672..1514067	+	131	28868584	shcE	PSPTO_1376	-	-	type III chaperone ShcE
1514116..1519503	-	1795	28868585	avrE1	PSPTO_1377	-	-	type III effector protein AvrE1
1519724..1521211	+	495	28868586	hrpH	PSPTO_1378	-	COG4623M	membrane-bound lytic murein transglycosylase D
1522289..1523233	+	314	28868587	hrpR	PSPTO_1379	-	COG3829KT	type III transcriptional regulator HrpR
1523279..1524187	+	302	28868588	hrpS	PSPTO_1380	-	COG2204T	type III transcriptional regulator HrpS
1524281..1524622	+	113	28868589	hrpA1	PSPTO_1381	-	-	type III helper protein HrpA1
1524678..1525790	+	370	28868590	hrpZ1	PSPTO_1382	-	COG4907S	type III restriction system endonuclease
1525818..1526192	+	124	28868591	hrpB	PSPTO_1383	-	-	type III secretion protein HrpB
1526201..1527007	+	268	28868592	hrcJ	PSPTO_1384	-	COG4669U	type III secretion protein HrcJ
1527004..1527534	+	176	28868593	hrpD	PSPTO_1385	-	-	type III secretion protein HrpD
1527570..1528151	+	193	28868594	hrpE	PSPTO_1386	-	-	type III secretion protein HrpE
1528246..1528470	+	74	28868595	hrpF	PSPTO_1387	-	-	type III secretion protein HrpF
1528457..1528888	+	143	28868596	hrpG	PSPTO_1388	-	-	type III secretion protein HrpG
1528890..1530989	+	699	162533078	hrcC	PSPTO_1389	-	COG1450NU	outer-membrane type III secretion protein HrcC
1530986..1531189	+	67	28868598	hrpT	PSPTO_1390	-	-	type III secretion protein
1531192..1531551	+	119	28868599	hrpV	PSPTO_1391	-	-	negative regulator of hrp expression HrpV
1532093..1533172	-	359	28868600	hrcU	PSPTO_1392	-	COG1377NU	type III secretion protein HrcU
1533169..1533963	-	264	28868601	hrcT	PSPTO_1393	-	COG4791U	type III secretion protein HrcT
1533964..1534230	-	88	28868602	hrcS	PSPTO_1394	-	COG4794U	type III secretion protein HrcS
1534238..1534840	-	200	162533077	hrcR	PSPTO_1395	-	COG4790U	type III secretion protein HrcR
1534888..1535301	-	137	28868604	hrcQb	PSPTO_1396	-	COG1886NU	type III secretion protein HrcQb
1535291..1536007	-	238	28868605	hrcQa	PSPTO_1397	-	-	type III secretion protein HrcQa
1536004..1536573	-	189	28868606	hrpP	PSPTO_1398	-	-	type III secretion protein HrpP
1536580..1537026	-	148	28868607	hrpO	PSPTO_1399	-	-	type III secretion protein HrpO
1537029..1538378	-	449	28868608	hrcN	PSPTO_1400	-	COG1157NU	type III secretion cytoplasmic ATPase HrcN
